1,1,1,Regular
2,2,1,Regular
3,3,1,Regular
4,4,1,Regular
5,5,1,Regular
6,6,1,Regular
7,7,1,Regular
8,8,1,Regular
9,9,1,Regular
10,10,1,Regular
11,11,1,Regular
12,12,1,Regular
13,13,1,Regular
14,14,1,Regular
15,15,1,Regular
16,16,1,Regular
17,17,1,Regular
18,18,1,Regular
19,19,1,Regular
20,20,1,Regular
21,21,1,Regular
22,22,1,Regular
23,23,1,Regular
24,24,1,Regular
25,25,1,Regular
26,26,1,Regular
27,27,1,Regular
28,28,1,Regular
29,29,1,Regular
30,30,1,Regular
31,31,1,Regular
32,32,1,Regular
33,33,1,Regular
34,34,1,Regular
35,35,1,Regular
36,36,1,Regular
37,37,1,Regular
38,38,1,Regular
39,39,1,Regular
40,40,1,Regular
41,41,1,Regular
42,42,1,Regular
43,43,1,Regular
44,44,1,Regular
45,45,1,Regular
46,46,1,Regular
47,47,1,Regular
48,48,1,Regular
49,49,1,Regular
50,50,1,Regular
51,51,1,Regular
52,52,1,Regular
53,53,1,Regular
54,54,1,Regular
55,55,1,Regular
56,56,1,Regular
57,57,1,Regular
58,58,1,Regular
59,59,1,Regular
60,60,1,Regular
61,61,1,Regular
62,62,1,Regular
63,63,1,Regular
64,64,1,Regular
65,65,1,Regular
66,66,1,Regular
67,67,1,Regular
68,68,1,Regular
69,69,1,Regular
70,70,1,Regular
71,71,1,Regular
72,72,1,Regular
73,73,1,Regular
74,74,1,Regular
75,75,1,Regular
76,76,1,Regular
77,77,1,Regular
78,78,1,Regular
79,79,1,Regular
80,80,1,Regular
81,81,1,Regular
82,82,1,Regular
83,83,1,Regular
84,84,1,Regular
85,85,1,Regular
86,86,1,Regular
87,87,1,Regular
88,88,1,Regular
89,89,1,Regular
90,90,1,Regular
91,91,1,Regular
92,92,1,Regular
93,93,1,Regular
94,94,1,Regular
95,95,1,Regular
96,96,1,Regular
97,97,1,Regular
98,98,1,Regular
99,99,1,Regular
100,100,1,Regular
101,101,1,Regular
102,102,1,Regular
103,103,1,Regular
104,104,1,Regular
105,105,1,Regular
106,106,1,Regular
