1,633
2,434
3,475
4,242
5,785
6,156
7,658
8,470
9,137
10,323
11,172
12,283
13,738
14,925
15,156
16,732
17,1
18,49
19,351
20,736
21,399
22,870
23,471
24,633
25,872
26,120
27,231
28,54
29,900
30,852
31,402
32,187
33,993
34,922
35,6
36,762
37,70
38,984
39,765
40,469
41,923
42,720
43,53
44,557
45,949
46,382
47,282
48,928
49,209
50,320
51,776
52,405
53,564
54,227
55,201
56,832
57,17
58,170
59,694
60,398
61,382
62,931
63,396
64,191
65,157
66,81
67,543
68,290
69,495
70,809
71,340
72,291
73,915
74,495
75,614
76,94
77,650
78,320
79,527
80,687
81,766
82,381
83,450
84,562
85,414
86,765
87,307
88,157
89,282
90,290
91,662
92,181
93,38
94,131
95,103
96,244
97,613
98,616
99,570
100,336
101,35
102,775
103,223
104,506
105,544
106,831
107,938
108,402
109,958
110,842
111,46
112,442
113,226
114,361
115,647
116,816
117,365
118,905
119,249
120,605
121,292
122,342
123,415
124,331
125,395
126,327
127,482
128,146
129,442
130,644
131,629
132,479
133,961
134,874
135,878
136,174
137,371
138,480
139,296
140,156
141,180
142,396
143,678
144,448
145,939
146,369
147,56
148,209
149,278
150,184
151,648
152,405
153,101
154,589
155,705
156,340
157,197
158,677
159,245
160,611
161,186
162,221
163,539
164,299
165,128
166,147
167,978
168,773
169,450
170,904
171,178
172,765
173,876
174,425
175,512
176,548
177,387
178,874
179,799
180,262
181,701
182,597
183,624
184,943
185,804
186,86
187,197
188,485
189,34
190,959
191,509
192,267
193,161
194,541
195,530
196,966
197,762
198,606
199,884
