1,1,630,,6
2,2,2306,,12
3,3,6732,,6
4,4,2081,,6
5,5,5304,,6
6,6,3133,,9
7,7,2842,,12
8,8,3875,,7
9,9,1808,,6
10,10,1249,,7
11,11,3175,,6
12,12,6776,,11
13,13,5422,,8
14,14,252,,12
15,15,403,,6
16,16,4594,,7
17,17,6749,,6
18,18,1266,,10
19,19,2806,,12
20,20,5296,,12
21,21,2058,,11
22,22,4642,,10
23,23,5862,,9
24,24,5398,,11
25,25,7087,,6
26,26,5548,,7
27,27,4590,,7
28,28,4477,,6
29,29,6824,,12
30,30,3130,,10
31,31,1979,,11
32,32,99,,12
33,33,2436,,8
34,34,5404,,8
35,35,163,,11
36,36,6277,,12
37,37,5887,,10
38,38,7168,,8
39,39,3404,,12
40,40,5917,,12
41,41,4068,,7
42,42,3155,,6
43,43,4846,,10
44,44,1771,,9
45,45,3707,,12
46,46,2695,,6
47,47,1464,,6
48,48,1977,,10
49,49,2659,,11
50,50,1456,,11
51,51,4513,,10
52,52,6004,,10
53,53,2843,,11
54,54,1081,,10
55,55,2696,,9
56,56,6914,,10
57,57,5444,,6
58,58,3700,,7
59,59,57,,12
60,60,5452,,9
61,61,7245,,7
62,62,290,,6
63,63,3722,,7
64,64,4203,,11
65,65,3770,,6
66,66,5864,,11
67,67,1061,,9
68,68,5437,,11
69,69,6612,,6
70,70,1393,,9
71,71,4674,,8
72,72,5028,,12
73,73,4067,,10
74,74,55,,9
75,75,7225,,9
76,76,6339,,11
77,77,5973,,6
78,78,5839,,8
79,79,4223,,8
80,80,3131,,7
81,81,1282,,10
82,82,1938,,8
83,83,5727,,7
84,84,6261,,11
85,85,6486,,12
86,86,2722,,6
87,87,3333,,7
88,88,2901,,12
89,89,4518,,6
90,90,6950,,8
91,91,861,,9
92,92,5380,,10
93,93,3679,,12
94,94,1445,,7
95,95,7274,,6
96,96,3637,,8
97,97,991,,11
98,98,2063,,8
99,99,6084,,9
100,100,6907,,9
101,101,1117,,12
102,102,5540,,12
103,103,4145,,10
104,104,5722,,10
105,105,4593,,7
106,106,3437,,7
107,107,3833,,11
108,108,1203,,11
109,109,3237,,9
110,110,2797,,12
111,111,3203,,10
112,112,5903,,10
113,113,3673,,11
114,114,1039,,8
115,115,504,,7
116,116,3373,,7
117,117,6256,,12
118,118,936,,9
119,119,6525,,9
120,120,2044,,11
121,121,6047,,8
122,122,4611,,7
123,123,6941,,7
124,124,4963,,10
125,125,6285,,10
126,126,370,,11
127,127,3270,,6
128,128,1163,,9
129,129,6349,,6
130,130,7212,,9
131,131,3643,,8
132,132,2055,,8
133,133,6539,,11
134,134,4357,,7
135,135,6893,,10
136,136,39,,11
137,137,4177,,8
138,138,575,,9
139,139,3006,,7
140,140,3103,,8
141,141,1516,,7
142,142,7087,,12
143,143,2433,,12
144,144,2419,,12
145,145,6220,,6
146,146,7144,,9
147,147,5349,,10
148,148,1444,,8
149,149,2200,,10
150,150,2627,,11
151,151,2804,,12
152,152,4629,,11
153,153,4109,,10
154,154,1350,,6
155,155,4685,,7
156,156,7073,,12
157,157,5918,,11
158,158,3202,,7
159,159,359,,8
160,160,494,,6
161,161,32,,9
162,162,853,,11
163,163,2081,,10
164,164,5083,,6
165,165,4172,,8
166,166,719,,11
167,167,4068,,8
168,168,181,,7
169,169,4285,,9
170,170,1617,,9
171,171,3273,,8
172,172,2967,,8
173,173,1294,,8
174,174,4127,,9
175,175,1737,,11
176,176,984,,6
177,177,2496,,8
178,178,2246,,12
179,179,7135,,11
180,180,4424,,12
181,181,4700,,12
182,182,7024,,12
183,183,4433,,8
184,184,5779,,6
185,185,6242,,11
186,186,7212,,9
187,187,4694,,7
188,188,5705,,9
189,189,176,,8
190,190,3591,,9
191,191,6686,,7
192,192,422,,10
193,193,3903,,8
194,194,5432,,12
195,195,1239,,11
196,196,334,,7
197,197,4951,,6
198,198,198,,11
199,199,7134,,6
200,200,6466,,12
201,1,4116,,8
202,2,4130,,10
203,3,833,,9
204,4,6106,,6
205,5,2073,,7
206,6,2628,,12
207,7,7055,,10
208,8,1527,,9
209,9,6106,,6
210,10,583,,10
211,11,3457,,7
212,12,4466,,6
213,13,3502,,10
214,14,4037,,11
215,15,470,,11
216,16,6120,,11
217,17,2131,,11
218,18,6318,,9
219,19,815,,9
220,20,6135,,9
221,21,847,,11
222,22,2622,,8
223,23,2498,,11
224,24,5007,,11
225,25,6246,,9
226,26,1107,,10
227,27,1000,,7
228,28,4560,,11
229,29,4602,,9
230,30,5216,,6
231,31,1127,,8
232,32,5620,,12
233,33,5469,,8
234,34,6442,,11
235,35,4993,,10
236,36,6904,,10
237,37,2590,,8
238,38,4203,,9
239,39,3803,,8
240,40,199,,8
241,41,4237,,9
242,42,6229,,9
243,43,1177,,9
244,44,5844,,11
245,45,7213,,12
246,46,4626,,6
247,47,2138,,11
248,48,4690,,9
249,49,393,,7
250,50,3577,,6
251,51,318,,6
252,52,1064,,10
253,53,3047,,7
254,54,4116,,7
255,55,628,,7
256,56,3331,,6
257,57,1055,,9
258,58,5233,,6
259,59,4441,,11
260,60,1431,,8
261,61,4814,,8
262,62,3513,,7
263,63,6544,,11
264,64,5079,,8
265,65,1056,,10
266,66,5212,,7
267,67,3417,,10
268,68,1634,,9
269,69,5705,,12
270,70,1524,,7
271,71,2524,,8
272,72,2162,,8
273,73,2331,,8
274,74,5733,,12
275,75,7255,,12
276,76,7026,,8
277,77,5195,,12
278,78,5652,,10
279,79,761,,8
280,80,5150,,11
