1,Avengers: Endgame,1/1/2019,United States,Good movie,3987,en,Action
2,Avatar,1/1/2009,United States,Good movie,4534,en,Action
3,Titanic,1/1/1997,United States,Good movie,4135,en,Action
4,Star Wars: The Force Awakens,1/1/2015,United States,Good movie,4709,en,Action
5,Avengers: Infinity War,1/1/2018,United States,Good movie,4875,en,Action
6,Jurassic World,1/1/2015,United States,Good movie,3789,en,Action
7,The Lion King,1/1/2019,United States,Good movie,3707,en,Action
8,The Avengers,1/1/2012,United States,Good movie,3776,en,Action
9,Furious 7,1/1/2015,United States,Good movie,3850,en,Action
10,Frozen II,1/1/2019,United States,Good movie,3760,en,Action
11,Avengers: Age of Ultron,1/1/2015,United States,Good movie,4419,en,Action
12,Black Panther,1/1/2018,United States,Good movie,4402,en,Action
13,Harry Potter and the Deathly Hallows - Part 2,1/1/2011,United States,Good movie,4098,en,Action
14,Star Wars: The Last Jedi,1/1/2017,United States,Good movie,5047,en,Action
15,Jurassic World: Fallen Kingdom,1/1/2018,United States,Good movie,5159,en,Action
16,Frozen,1/1/2013,United States,Good movie,5355,en,Action
17,Beauty and the Beast,1/1/2017,United States,Good movie,4493,en,Action
18,Incredibles 2,1/1/2018,United States,Good movie,4271,en,Action
19,The Fate of the Furious,1/1/2017,United States,Good movie,4363,en,Action
20,Iron Man 3,1/1/2013,United States,Good movie,5277,en,Action
21,Minions,1/1/2015,United States,Good movie,4179,en,Action
22,Captain America: Civil War,1/1/2016,United States,Good movie,4958,en,Action
23,Aquaman,1/1/2018,United States,Good movie,4607,en,Action
24,The Lord of the Rings: The Return of the King,1/1/2003,United States,Good movie,3675,en,Action
25,Spider-Man: Far From Home,1/1/2019,United States,Good movie,5003,en,Action
26,Captain Marvel,1/1/2019,United States,Good movie,3661,en,Action
27,Transformers: Dark of the Moon,1/1/2011,United States,Good movie,4717,en,Action
28,Skyfall,1/1/2012,United States,Good movie,4730,en,Action
29,Transformers: Age of Extinction,1/1/2014,United States,Good movie,5434,en,Action
30,The Dark Knight Rises,1/1/2012,United States,Good movie,3772,en,Action
31,Joker,1/1/2019,United States,Good movie,5083,en,Action
32,Star Wars: The Rise of Skywalker,1/1/2019,United States,Good movie,5317,en,Action
33,Toy Story 4,1/1/2019,United States,Good movie,4656,en,Action
34,Toy Story 3,1/1/2010,United States,Good movie,3858,en,Action
35,Pirates of the Caribbean: Dead Man's Chest,1/1/2006,United States,Good movie,4006,en,Action
36,Rogue One: A Star Wars Story,1/1/2016,United States,Good movie,4192,en,Action
37,Aladdin,1/1/2019,United States,Good movie,4052,en,Action
38,Pirates of the Caribbean: On Stranger Tides,1/1/2011,United States,Good movie,4743,en,Action
39,Despicable Me 3,1/1/2017,United States,Good movie,4878,en,Action
40,Jurassic Park,1/1/1993,United States,Good movie,3761,en,Action
41,Finding Dory,1/1/2016,United States,Good movie,4343,en,Action
42,Star Wars: Episode I - The Phantom Menace,1/1/1999,United States,Good movie,5498,en,Action
43,Alice in Wonderland,1/1/2010,United States,Good movie,5256,en,Action
44,Zootopia,1/1/2016,United States,Good movie,4016,en,Action
45,The Hobbit: An Unexpected Journey,1/1/2012,United States,Good movie,5372,en,Action
46,The Dark Knight,1/1/2008,United States,Good movie,5103,en,Action
47,Harry Potter and the Philosopher's Stone,1/1/2001,United States,Good movie,5025,en,Action
48,Despicable Me 2,1/1/2013,United States,Good movie,4449,en,Action
49,The Lion King,1/1/1994,United States,Good movie,5417,en,Action
50,The Jungle Book,1/1/2016,United States,Good movie,3665,en,Action
51,Love Actually,1/1/2016,United States,Good movie,4000,en,Drama
52,P.S. I Love You,1/1/2017,United States,Good movie,5417,en,Drama
53,Down With Love,1/1/1993,United States,Good movie,3665,en,Drama
